Timestamp,X,Y,Z
20240728013223,-0.01,0.95,0.11
20240728013224,-0.02,0.95,0.11
20240728013225,-0.02,0.95,0.11
20240728013226,-0.02,0.95,0.11
20240728013227,-0.02,0.95,0.11
20240728013228,-0.01,0.95,0.12
20240728013229,-0.01,0.96,0.05
20240728013230,-0.01,0.96,0.10
20240728013231,-0.01,0.96,0.06
20240728013232,-0.01,0.96,0.07
20240728013233,-0.01,0.96,0.07
20240728013234,-0.01,0.96,0.08
20240728013235,-0.01,0.96,0.07
20240728013236,-0.02,0.95,0.11
20240728013237,-0.01,0.96,0.07
20240728013238,-0.01,0.96,0.07
20240728013239,-0.00,0.95,0.07
20240728013240,-0.01,0.96,0.08
20240728013241,-0.01,0.96,0.07
20240728013242,-0.01,0.96,0.07
20240728013243,-0.01,0.96,0.07
20240728013244,-0.01,0.96,0.07
20240728013245,-0.01,0.96,0.07
20240728013246,-0.01,0.96,0.07
20240728013247,-0.01,0.96,0.07
20240728013248,-0.01,0.96,0.07
20240728013249,-0.01,0.96,0.07
20240728013250,-0.01,0.96,0.07
20240728013251,-0.01,0.95,0.07
20240728013252,-0.01,0.96,0.07
20240728013253,-0.01,0.96,0.07
20240728013254,-0.01,0.96,0.07
20240728013255,-0.01,0.96,0.07
20240728013256,-0.01,0.95,0.07
20240728013257,-0.01,0.96,0.07
20240728013258,-0.01,0.96,0.07
20240728013259,-0.01,0.96,0.07
20240728013300,-0.01,0.96,0.07
20240728013301,-0.01,0.96,0.07
20240728013302,-0.01,0.96,0.07
20240728013303,-0.01,0.96,0.05
20240728013304,-0.02,0.95,0.10
20240728013305,-0.02,0.95,0.09
20240728013306,-0.02,0.95,0.08
20240728013307,0.00,0.95,0.08
20240728013308,-0.01,0.96,0.07
20240728013309,-0.01,0.96,0.07
20240728013310,-0.01,0.96,0.07
20240728013311,-0.01,0.96,0.07
20240728013312,-0.01,0.96,0.07
20240728013313,-0.01,0.96,0.07
20240728013314,-0.01,0.96,0.07
20240728013315,-0.01,0.96,0.07
20240728013316,-0.01,0.96,0.07
20240728013317,-0.01,0.96,0.07
20240728013318,-0.01,0.96,0.07
20240728013319,-0.01,0.96,0.07
20240728013320,-0.01,0.96,0.07
20240728013321,-0.01,0.96,0.07
20240728013322,-0.01,0.96,0.07
20240728013323,-0.01,0.96,0.07
20240728013324,-0.01,0.96,0.07
20240728013325,-0.01,0.96,0.07
20240728013326,-0.01,0.96,0.07
20240728013327,-0.01,0.96,0.07
20240728013328,-0.01,0.96,0.07
20240728013329,-0.01,0.96,0.07
20240728013330,-0.01,0.96,0.07
20240728013331,-0.01,0.96,0.07
20240728013332,-0.01,0.96,0.07
20240728013333,-0.01,0.96,0.07
20240728013334,-0.01,0.96,0.07
20240728013335,-0.01,0.96,0.07
20240728013336,-0.01,0.96,0.07
20240728013337,-0.01,0.96,0.07
20240728013338,-0.01,0.96,0.07
20240728013339,-0.01,0.96,0.07
20240728013340,-0.01,0.96,0.07
20240728013341,-0.01,0.96,0.07
20240728013342,-0.01,0.96,0.07
20240728013343,-0.01,0.96,0.07
20240728013344,-0.01,0.96,0.07
20240728013345,-0.01,0.96,0.07
20240728013346,-0.01,0.95,0.07
20240728013347,-0.01,0.96,0.07
20240728013348,-0.01,0.96,0.07
20240728013349,-0.01,0.96,0.07
20240728013350,-0.01,0.96,0.07
20240728013351,-0.01,0.96,0.07
20240728013352,-0.01,0.96,0.07
20240728013353,-0.01,0.96,0.07
20240728013354,-0.01,0.96,0.07
20240728013355,-0.01,0.96,0.07
20240728013356,-0.01,0.96,0.07
20240728013357,-0.01,0.96,0.07
20240728013358,-0.01,0.96,0.07
20240728013359,-0.01,0.96,0.07
20240728013400,-0.01,0.96,0.07
20240728013401,-0.01,0.96,0.07
20240728013402,-0.01,0.96,0.07
20240728013403,-0.01,0.96,0.07
20240728013404,-0.01,0.96,0.07
20240728013405,-0.01,0.96,0.07
20240728013406,-0.01,0.96,0.07
20240728013407,-0.01,0.96,0.07
20240728013408,-0.01,0.95,0.07
20240728013409,-0.01,0.96,0.07
20240728013410,-0.01,0.96,0.07
20240728013411,-0.01,0.96,0.07
20240728013412,-0.01,0.96,0.07
20240728013413,-0.01,0.96,0.07
20240728013414,-0.01,0.96,0.07
20240728013415,-0.01,0.96,0.07
20240728013416,-0.01,0.96,0.07
20240728013417,-0.01,0.96,0.07
20240728013418,-0.01,0.96,0.07
20240728013419,-0.01,0.96,0.07
20240728013420,-0.01,0.96,0.07
20240728013421,-0.01,0.96,0.07
20240728013422,-0.01,0.96,0.07
20240728013423,-0.01,0.96,0.07
20240728013424,-0.01,0.96,0.07
20240728013425,-0.01,0.96,0.07
20240728013426,-0.01,0.96,0.07
20240728013427,-0.01,0.96,0.07
20240728013428,-0.01,0.96,0.07
20240728013429,-0.01,0.96,0.07
20240728013430,-0.01,0.96,0.07
20240728013431,-0.01,0.95,0.07
20240728013432,-0.01,0.96,0.07
20240728013433,-0.01,0.96,0.07
20240728013434,-0.01,0.96,0.07
20240728013435,-0.01,0.96,0.07
20240728013436,-0.01,0.96,0.07
20240728013437,-0.01,0.96,0.07
20240728013438,-0.01,0.96,0.07
20240728013439,-0.01,0.96,0.07
20240728013440,-0.01,0.96,0.07
20240728013441,-0.01,0.96,0.07
20240728013442,-0.01,0.96,0.07
20240728013443,-0.01,0.96,0.07
20240728013444,-0.01,0.96,0.07
20240728013445,-0.01,0.96,0.07
20240728013446,-0.01,0.96,0.07
20240728013447,-0.01,0.96,0.07
20240728013448,-0.01,0.96,0.07
20240728013449,-0.01,0.96,0.07
20240728013450,-0.01,0.96,0.07
20240728013451,-0.01,0.96,0.07
20240728013452,-0.01,0.96,0.07
20240728013453,-0.01,0.96,0.07
20240728013454,-0.01,0.96,0.07
20240728013455,-0.01,0.96,0.07
20240728013456,-0.01,0.96,0.07
20240728013457,-0.01,0.96,0.07
20240728013458,-0.01,0.96,0.07
20240728013459,-0.01,0.96,0.07
20240728013500,-0.01,0.96,0.07
20240728013501,-0.01,0.96,0.07
20240728013502,-0.01,0.96,0.07
20240728013503,-0.01,0.96,0.07
20240728013504,-0.01,0.96,0.07
20240728013505,-0.01,0.96,0.07
20240728013506,-0.01,0.96,0.07
20240728013507,-0.01,0.96,0.07
20240728013508,-0.01,0.96,0.07
20240728013509,-0.01,0.96,0.07
20240728013510,-0.01,0.96,0.07
20240728013511,-0.01,0.96,0.07
20240728013512,-0.01,0.96,0.07
20240728013513,-0.01,0.96,0.07
20240728013514,-0.01,0.96,0.07
20240728013515,-0.01,0.96,0.07
20240728013516,-0.01,0.96,0.07
20240728013517,-0.01,0.96,0.07
20240728013518,-0.01,0.96,0.07
20240728013519,-0.01,0.96,0.07
20240728013520,-0.01,0.96,0.07
20240728013521,-0.01,0.96,0.07
20240728013522,-0.01,0.96,0.07
20240728013523,-0.01,0.96,0.07
20240728013524,-0.01,0.96,0.07
20240728013525,-0.01,0.96,0.07
20240728013526,-0.01,0.96,0.07
20240728013527,-0.01,0.96,0.07
20240728013528,-0.01,0.96,0.07
20240728013529,-0.01,0.96,0.07
20240728013530,-0.01,0.96,0.07
20240728013531,-0.01,0.96,0.07
20240728013532,-0.01,0.96,0.07
20240728013533,-0.01,0.96,0.07
20240728013534,-0.01,0.96,0.07
20240728013535,-0.01,0.96,0.07
20240728013536,-0.01,0.96,0.07
20240728013537,-0.01,0.96,0.07
20240728013538,-0.01,0.96,0.07
20240728013539,-0.01,0.96,0.07
20240728013541,-0.01,0.96,0.07
20240728013542,-0.01,0.96,0.07
20240728013543,-0.01,0.96,0.07
20240728013544,-0.01,0.96,0.07
20240728013545,-0.01,0.96,0.07
20240728013546,-0.01,0.96,0.07
20240728013547,-0.01,0.96,0.07
20240728013548,-0.01,0.96,0.07
20240728013549,-0.00,0.96,0.05
20240728013550,-0.01,0.96,0.07
20240728013551,-0.01,0.96,0.07
20240728013552,-0.01,0.95,0.06
20240728013553,-0.01,0.96,0.07
20240728013554,-0.01,0.97,0.09
20240728013555,-0.01,0.96,0.07
20240728013556,-0.01,0.96,0.07
20240728013557,-0.01,0.96,0.07
20240728013558,-0.01,0.96,0.07
20240728013559,-0.01,0.96,0.06
20240728013600,-0.01,0.96,0.06
20240728013601,-0.01,0.96,0.06
20240728013602,-0.01,0.96,0.06
20240728013603,-0.01,0.96,0.06
20240728013604,-0.01,0.96,0.06
20240728013605,-0.01,0.96,0.06
20240728013606,-0.01,0.96,0.06
20240728013607,-0.01,0.96,0.06
20240728013608,-0.01,0.96,0.06
20240728013609,-0.01,0.96,0.06
20240728013610,-0.01,0.96,0.06
20240728013611,-0.01,0.96,0.06
20240728013612,-0.01,0.96,0.06
20240728013613,-0.01,0.96,0.06
20240728013614,-0.01,0.96,0.06
20240728013615,-0.01,0.96,0.06
20240728013616,-0.01,0.96,0.06
20240728013617,-0.01,0.96,0.06
20240728013618,-0.01,0.96,0.06
20240728013619,-0.01,0.96,0.06
20240728013620,-0.01,0.96,0.06
20240728013621,-0.01,0.96,0.06
20240728013622,-0.01,0.96,0.06
20240728013623,-0.01,0.96,0.06
20240728013624,-0.01,0.96,0.06
20240728013625,-0.01,0.96,0.06
20240728013626,-0.01,0.96,0.06
20240728013627,-0.01,0.96,0.06
20240728013628,-0.01,0.96,0.06
20240728013629,-0.01,0.96,0.06
20240728013630,-0.01,0.96,0.06
20240728013631,-0.01,0.96,0.06
20240728013632,-0.01,0.96,0.06
20240728013633,-0.01,0.96,0.06
20240728013634,-0.01,0.96,0.06
20240728013635,-0.01,0.96,0.06
20240728013636,-0.01,0.96,0.06
20240728013637,-0.01,0.96,0.06
20240728013638,-0.01,0.96,0.06
20240728013639,-0.01,0.96,0.06
20240728013640,-0.01,0.96,0.06
20240728013641,-0.01,0.96,0.06
20240728013642,-0.01,0.96,0.06
20240728013643,-0.01,0.96,0.06
20240728013644,-0.01,0.96,0.06
20240728013645,-0.01,0.96,0.06
20240728013646,-0.01,0.96,0.06
20240728013647,-0.01,0.96,0.06
20240728013648,-0.01,0.96,0.06
20240728013649,-0.01,0.96,0.06
20240728013650,-0.01,0.96,0.06
20240728013651,-0.01,0.96,0.06
20240728013652,-0.01,0.96,0.06
20240728013653,-0.01,0.96,0.06
20240728013654,-0.01,0.96,0.06
20240728013655,-0.01,0.96,0.06
20240728013656,-0.01,0.96,0.06
20240728013657,-0.01,0.96,0.06
20240728013658,-0.01,0.96,0.06
20240728013659,-0.01,0.96,0.06
20240728013700,-0.01,0.96,0.06
20240728013701,-0.01,0.96,0.06
20240728013702,-0.01,0.96,0.06
20240728013703,-0.01,0.96,0.06
20240728013704,-0.01,0.96,0.06
20240728013705,-0.01,0.96,0.06
20240728013706,-0.01,0.96,0.06
20240728013707,-0.01,0.96,0.05
20240728013708,-0.01,0.96,0.06
20240728013709,-0.01,0.96,0.06
20240728013710,-0.01,0.96,0.06
20240728013711,-0.01,0.96,0.06
20240728013712,-0.01,0.96,0.06
20240728013713,-0.01,0.96,0.06
20240728013714,-0.01,0.96,0.06
20240728013715,-0.01,0.96,0.06
20240728013716,-0.01,0.96,0.06
20240728013717,-0.01,0.96,0.06
20240728013718,-0.01,0.96,0.06
20240728013719,-0.01,0.96,0.06
20240728013720,-0.01,0.96,0.06
20240728013721,-0.01,0.96,0.05
20240728013722,-0.01,0.96,0.06
20240728013723,-0.01,0.96,0.06
20240728013724,-0.01,0.96,0.06
20240728013725,-0.01,0.96,0.06
20240728013726,-0.01,0.96,0.06
20240728013727,-0.01,0.96,0.06
20240728013728,-0.01,0.96,0.06
20240728013729,-0.01,0.96,0.06
20240728013730,-0.01,0.96,0.06
20240728013731,-0.01,0.96,0.06
20240728013732,-0.01,0.96,0.06
20240728013733,-0.01,0.96,0.06
20240728013734,-0.01,0.96,0.06
20240728013735,-0.01,0.96,0.06
20240728013736,-0.01,0.96,0.06
20240728013737,-0.01,0.96,0.06
20240728013738,-0.01,0.96,0.06
20240728013739,-0.01,0.96,0.06
20240728013740,-0.01,0.96,0.06
20240728013741,-0.01,0.96,0.06
20240728013742,-0.01,0.96,0.06
20240728013743,-0.01,0.96,0.06
20240728013744,-0.01,0.96,0.06
20240728013745,-0.01,0.96,0.06
20240728013746,-0.01,0.96,0.06
20240728013747,-0.01,0.96,0.06
20240728013748,-0.01,0.96,0.06
20240728013749,-0.01,0.96,0.06
20240728013750,-0.01,0.96,0.06
20240728013751,-0.01,0.96,0.06
20240728013752,-0.01,0.96,0.06
20240728013753,-0.01,0.96,0.06
20240728013754,-0.01,0.96,0.06
20240728013755,-0.01,0.96,0.06
20240728013756,-0.01,0.96,0.06
20240728013757,-0.01,0.96,0.06
20240728013758,-0.01,0.96,0.06
20240728013759,-0.01,0.96,0.06
20240728013800,-0.01,0.96,0.06
20240728013801,-0.01,0.96,0.06
20240728013802,-0.01,0.96,0.06
20240728013803,-0.01,0.96,0.06
20240728013804,-0.01,0.96,0.06
20240728013805,-0.01,0.96,0.06
20240728013806,-0.01,0.96,0.06
20240728013807,-0.01,0.96,0.06
20240728013808,-0.01,0.96,0.06
20240728013809,-0.01,0.96,0.06
20240728013810,-0.01,0.96,0.06
20240728013811,-0.01,0.96,0.06
20240728013812,-0.01,0.96,0.06
20240728013813,-0.01,0.96,0.06
20240728013814,-0.01,0.96,0.06
20240728013815,-0.01,0.96,0.06
20240728013816,-0.01,0.96,0.06
20240728013817,-0.01,0.96,0.06
20240728013818,-0.01,0.96,0.06
20240728013819,-0.01,0.96,0.06
20240728013820,-0.01,0.96,0.06
20240728013821,-0.01,0.96,0.06
20240728013822,-0.01,0.96,0.06
20240728013823,-0.01,0.96,0.06
