timestamp,accelerationX,accelerationY,accelerationZ
20240826195926,0.02,-0.71,-0.71
20240826195928,0.02,-0.71,-0.71
20240826195929,0.02,-0.71,-0.71
20240826195930,0.02,-0.71,-0.71
20240826195931,0.02,-0.71,-0.71
20240826195933,0.02,-0.71,-0.71
20240826195934,0.02,-0.71,-0.71
20240826195935,0.02,-0.71,-0.71
20240826195936,0.02,-0.71,-0.71
20240826195938,0.02,-0.71,-0.71
20240826195939,0.02,-0.71,-0.71
20240826195940,0.02,-0.71,-0.71
20240826195941,0.02,-0.71,-0.71
20240826195942,0.02,-0.71,-0.71
20240826195944,0.02,-0.71,-0.71
20240826195945,0.02,-0.7,-0.72
20240826195946,0.02,-0.69,-0.72
20240826195948,0.02,-0.7,-0.71
20240826195949,0.02,-0.7,-0.72
20240826195950,0.02,-0.7,-0.72
20240826195951,0.02,-0.7,-0.72
20240826195953,0.02,-0.7,-0.72
20240826195954,0.02,-0.7,-0.72
20240826195955,0.02,-0.7,-0.72
20240826195956,0.02,-0.7,-0.72
20240826195958,0.02,-0.7,-0.72
20240826195959,0.02,-0.7,-0.72
20240826200000,0.02,-0.7,-0.72
20240826200001,0.02,-0.7,-0.72
20240826200003,0.02,-0.7,-0.71
20240826200004,0.02,-0.7,-0.72
20240826200005,0.02,-0.7,-0.72
20240826200006,0.02,-0.7,-0.72
20240826200008,0.02,-0.71,-0.71
20240826200009,0.02,-0.72,-0.7
20240826200010,0.02,-0.72,-0.7
20240826200011,0.02,-0.72,-0.69
20240826200013,0.02,-0.72,-0.69
20240826200014,0.02,-0.72,-0.69
20240826200015,0.02,-0.72,-0.69
20240826200016,0.02,-0.72,-0.69
20240826200018,0.02,-0.72,-0.69
20240826200019,0.02,-0.72,-0.69
20240826200020,0.02,-0.72,-0.69
20240826200021,0.02,-0.72,-0.7
20240826200023,0.02,-0.72,-0.69
20240826200024,0.02,-0.73,-0.69
20240826200025,0.02,-0.72,-0.69
20240826200026,0.02,-0.72,-0.69
20240826200028,0.02,-0.72,-0.69
20240826200029,0.02,-0.73,-0.69
20240826200030,0.02,-0.72,-0.69
20240826200031,0.02,-0.73,-0.69
20240826200033,0.02,-0.72,-0.69
20240826200034,0.02,-0.72,-0.69
20240826200035,0.02,-0.72,-0.7
20240826200037,0.02,-0.72,-0.69
20240826200038,0.02,-0.72,-0.69
20240826200039,0.02,-0.72,-0.69
20240826200040,0.02,-0.71,-0.71
20240826200042,0.02,-0.71,-0.71
20240826200043,0.02,-0.71,-0.71
20240826200044,0.02,-0.71,-0.71
20240826200045,0.02,-0.71,-0.71
20240826200047,0.02,-0.72,-0.7
20240826200048,0.02,-0.72,-0.69
20240826200049,0.02,-0.71,-0.71
20240826200050,0.02,-0.7,-0.71
20240826200052,0.02,-0.71,-0.71
20240826200053,0.02,-0.7,-0.71
20240826200054,0.02,-0.7,-0.71
20240826200055,0.02,-0.7,-0.71
20240826200057,0.02,-0.7,-0.71
20240826200058,0.02,-0.7,-0.71
20240826200059,0.02,-0.7,-0.71
20240826200100,0.02,-0.7,-0.71
20240826200102,0.02,-0.7,-0.72
20240826200103,0.02,-0.7,-0.72
20240826200104,0.02,-0.71,-0.71
20240826200105,0.02,-0.71,-0.71
20240826200107,0.02,-0.71,-0.71
20240826200108,0.02,-0.71,-0.71
20240826200109,0.02,-0.71,-0.71
20240826200110,0.02,-0.71,-0.71
20240826200112,0.02,-0.71,-0.71
20240826200113,0.02,-0.71,-0.71
20240826200114,0.02,-0.71,-0.71
20240826200115,0.02,-0.71,-0.71
20240826200117,0.02,-0.71,-0.71
20240826200118,0.02,-0.71,-0.71
