time,value
2024-09-02T14:50:28.535004007Z,{"lat":-37.86759082448926,"lon":145.2148209561866}
2024-09-02T14:50:29.581562804Z,{"lat":-37.86759082448926,"lon":145.2148209561866}
2024-09-02T14:50:30.557995079Z,{"lat":-37.86759082448926,"lon":145.2148209561866}
2024-09-02T14:50:31.602600069Z,{"lat":-37.86758601098318,"lon":145.21481510753352}
2024-09-02T14:50:32.585668758Z,{"lat":-37.86758601098318,"lon":145.21481510753352}
2024-09-02T14:50:33.801117215Z,{"lat":-37.86758601098318,"lon":145.21481510753352}
2024-09-02T14:50:34.555293876Z,{"lat":-37.86758601098318,"lon":145.21481510753352}
2024-09-02T14:50:35.705169068Z,{"lat":-37.86758601098318,"lon":145.21481510753352}
2024-09-02T14:50:38.29689662Z,{"lat":-37.86758601098318,"lon":145.21481510753352}
2024-09-02T14:50:38.299162556Z,{"lat":-37.86758601098318,"lon":145.21481510753352}
2024-09-02T14:50:38.620154012Z,{"lat":-37.86758601098318,"lon":145.21481510753352}
2024-09-02T14:50:41.132657089Z,{"lat":-37.86758601098318,"lon":145.21481510753352}
2024-09-02T14:50:41.134574817Z,{"lat":-37.86758601098318,"lon":145.21481510753352}
2024-09-02T14:50:41.770519709Z,{"lat":-37.86758601098318,"lon":145.21481510753352}
2024-09-02T14:50:42.821130368Z,{"lat":-37.86759612861759,"lon":145.2148267369642}
2024-09-02T14:50:44.039443147Z,{"lat":-37.86759612861759,"lon":145.2148267369642}
2024-09-02T14:50:44.806007511Z,{"lat":-37.86760487409761,"lon":145.21479493445037}
2024-09-02T14:50:45.751836447Z,{"lat":-37.86760487409761,"lon":145.21479493445037}
2024-09-02T14:50:46.691963452Z,{"lat":-37.86760487409761,"lon":145.21479493445037}
2024-09-02T14:50:47.978920704Z,{"lat":-37.86760487409761,"lon":145.21479493445037}
2024-09-02T14:50:48.809886542Z,{"lat":-37.86760487409761,"lon":145.21479493445037}
2024-09-02T14:50:49.791004658Z,{"lat":-37.86760487409761,"lon":145.21479493445037}
2024-09-02T14:50:50.810897138Z,{"lat":-37.86760487409761,"lon":145.21479493445037}
2024-09-02T14:50:51.785539272Z,{"lat":-37.867608585841296,"lon":145.2148181897553}
2024-09-02T14:50:52.772946086Z,{"lat":-37.867608585841296,"lon":145.2148181897553}
2024-09-02T14:50:53.753212544Z,{"lat":-37.86759042284426,"lon":145.21481701307076}
2024-09-02T14:50:54.922220896Z,{"lat":-37.86759042284426,"lon":145.21481701307076}
2024-09-02T14:50:55.794228138Z,{"lat":-37.86759042284426,"lon":145.21481701307076}
2024-09-02T14:50:56.827933564Z,{"lat":-37.86759042284426,"lon":145.21481701307076}
2024-09-02T14:50:57.829061673Z,{"lat":-37.86759042284426,"lon":145.21481701307076}
2024-09-02T14:50:58.872905816Z,{"lat":-37.86759042284426,"lon":145.21481701307076}
2024-09-02T14:51:02.022857091Z,{"lat":-37.86759042284426,"lon":145.21481701307076}
2024-09-02T14:51:02.54654881Z,{"lat":-37.86759042284426,"lon":145.21481701307076}
2024-09-02T14:51:02.853849419Z,{"lat":-37.86759042284426,"lon":145.21481701307076}
2024-09-02T14:51:03.038792064Z,{"lat":-37.86759042284426,"lon":145.21481701307076}
